Latitude (decimal degrees):	28.482
Longitude (decimal degrees):	-16.306
Elevation (m):	503
Radiation database:	PVGIS-SARAH3


Slope: 26 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	5.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,0.0,20.21,3.1,0.0
20230101:0109,0.0,0.0,0.0,20.31,2.69,0.0
20230101:0209,0.0,0.0,0.0,20.42,2.21,0.0
20230101:0309,0.0,0.0,0.0,20.5,1.93,0.0
20230101:0409,0.0,0.0,0.0,20.61,2.07,0.0
20230101:0509,0.0,0.0,0.0,20.72,2.21,0.0
20230101:0609,0.0,0.0,0.0,20.79,2.28,0.0
20230101:0709,0.0,0.0,0.0,20.81,2.41,0.0
20230101:0809,0.0,3.84,1.42,20.81,2.97,0.0
20230101:0909,1167.7,302.37,12.69,20.88,3.52,0.0
20230101:1009,2103.6,521.16,22.77,20.7,4.55,0.0
20230101:1109,3033.1,756.08,31.01,20.83,4.48,0.0
20230101:1209,3489.4,884.24,36.55,20.85,3.79,0.0
20230101:1309,3576.45,922.45,38.51,20.8,2.62,0.0
20230101:1409,3114.9,804.7,36.48,20.83,1.66,0.0
20230101:1509,2797.8,719.85,30.89,20.88,1.24,0.0
20230101:1609,2055.0,525.3,22.6,20.91,0.76,0.0
20230101:1709,1146.3,303.31,12.5,20.88,0.34,0.0
20230101:1809,0.0,0.0,0.0,20.63,0.9,0.0
20230101:1909,0.0,0.0,0.0,20.45,1.52,0.0
20230101:2009,0.0,0.0,0.0,20.36,1.52,0.0
20230101:2109,0.0,0.0,0.0,20.33,1.45,0.0
20230101:2209,0.0,0.0,0.0,20.24,1.79,0.0
20230101:2309,0.0,0.0,0.0,20.16,2.07,0.0
20230102:0009,0.0,0.0,0.0,20.03,2.07,0.0
20230102:0109,0.0,0.0,0.0,19.87,1.93,0.0
20230102:0209,0.0,0.0,0.0,19.73,1.86,0.0
20230102:0309,0.0,0.0,0.0,19.64,1.66,0.0
20230102:0409,0.0,0.0,0.0,19.58,1.52,0.0
20230102:0509,0.0,0.0,0.0,19.53,1.66,0.0
20230102:0609,0.0,0.0,0.0,19.45,1.93,0.0
